장소 이름,검색위치,카테고리,세부 태그/설명,지역,구글 지도 링크,출처
몬 다카나와 MoN Takanawa,몬 다카나와 MoN Takanawa 일본 도쿄,기타,"📍몬 다카나와 MoN Takanawa @montakanawa (3 Chome-16-1 Mita, Minato",일본 도쿄,https://www.google.com/maps/search/?api=1&query=%EB%AA%AC%20%EB%8B%A4%EC%B9%B4%EB%82%98%EC%99%80%20MoN%20Takanawa%20%EC%9D%BC%EB%B3%B8%20%EB%8F%84%EC%BF%84,https://www.instagram.com/reel/DclWVI5tvyo/?stkn=Z3JpbTFyejR6bTZq
룹스 LOOPS,룹스 LOOPS 일본 도쿄,기타,"📍룹스 LOOPS @loops_tgw (일본 〒108-0074 Tokyo, Minato City, Takan",일본 도쿄,https://www.google.com/maps/search/?api=1&query=%EB%A3%B9%EC%8A%A4%20LOOPS%20%EC%9D%BC%EB%B3%B8%20%EB%8F%84%EC%BF%84,https://www.instagram.com/reel/DclWVI5tvyo/?stkn=Z3JpbTFyejR6bTZq
아자부다이 힐즈 Azabudai hills,아자부다이 힐즈 Azabudai hills 일본 도쿄,기타,"📍아자부다이 힐즈 Azabudai hills (1 Chome-3-1 Azabudai, Minato City,",일본 도쿄,https://www.google.com/maps/search/?api=1&query=%EC%95%84%EC%9E%90%EB%B6%80%EB%8B%A4%EC%9D%B4%20%ED%9E%90%EC%A6%88%20Azabudai%20hills%20%EC%9D%BC%EB%B3%B8%20%EB%8F%84%EC%BF%84,https://www.instagram.com/reel/DclWVI5tvyo/?stkn=Z3JpbTFyejR6bTZq
