장소 이름,검색위치,카테고리,세부 태그/설명,지역,구글 지도 링크,출처
무사시노 산토리 맥주공장,무사시노 산토리 맥주공장 일본 도쿄,식당 및 카페,맥주 브루어리,일본 도쿄,https://www.google.com/maps/search/?api=1&query=%EB%AC%B4%EC%82%AC%EC%8B%9C%EB%85%B8%20%EC%82%B0%ED%86%A0%EB%A6%AC%20%EB%A7%A5%EC%A3%BC%EA%B3%B5%EC%9E%A5,여행 계획
몬 다카나와 MoN Takanawa,몬 다카나와 MoN Takanawa 일본 도쿄,식당 및 카페,타카나와 게이트웨이 복합 문화/카페 공간,일본 도쿄,https://www.google.com/maps/search/?api=1&query=%EB%AA%AC%20%EB%8B%A4%EC%B9%B4%EB%82%98%EC%99%80%20MoN%20Takanawa%20%EC%9D%BC%EB%B3%B8%20%EB%8F%84%EC%BF%84,https://www.instagram.com/reel/DclWVI5tvyo/?stkn=Z3JpbTFyejR6bTZq
사푸 safu,사푸 safu 일본 도쿄,식당 및 카페,"📍사푸 safu @safu_cafe_dining (일본 〒105-0001 Tokyo, Minato City,",일본 도쿄,https://www.google.com/maps/search/?api=1&query=%EC%82%AC%ED%91%B8%20safu%20%EC%9D%BC%EB%B3%B8%20%EB%8F%84%EC%BF%84,https://www.instagram.com/reel/DclWVI5tvyo/?stkn=Z3JpbTFyejR6bTZq
룹스 LOOPS,룹스 LOOPS 일본 도쿄,식당 및 카페,뉴우먼 타카나와 LUFTBAUM 28층 스카이라운지 바/카페,일본 도쿄,https://www.google.com/maps/search/?api=1&query=%EB%A3%B9%EC%8A%A4%20LOOPS%20%EC%9D%BC%EB%B3%B8%20%EB%8F%84%EC%BF%84,https://www.instagram.com/reel/DclWVI5tvyo/?stkn=Z3JpbTFyejR6bTZq
カナデ ラウンジ (Kanade Lounge),カナデ ラウンジ 일본 도쿄,식당 및 카페,"📌カナデ ラウンジ (Kanade Lounge) (1 Chome-8-1 Shimomeguro, Meguro C",일본 도쿄,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%83%8A%E3%83%87%20%E3%83%A9%E3%82%A6%E3%83%B3%E3%82%B8%20%28Kanade%20Lounge%29%20%EC%9D%BC%EB%B3%B8%20%EB%8F%84%EC%BF%84,https://www.instagram.com/reel/DdF7SfGxf3R/?stkn=bnp6czQ0MmJyY3Uw
호텔 가조엔 도쿄 1층 카페 (카나데 라운지),호텔 가조엔 도쿄 1층 카페 일본 도쿄,식당 및 카페,"센과 치히로 모티브 100년 전통 호텔, 통유리 폭포 정원 뷰 라운지",일본 도쿄,https://www.google.com/maps/search/?api=1&query=%ED%98%B8%ED%85%94%20%EA%B0%80%EC%A1%B0%EC%97%94%20%EB%8F%84%EC%BF%84%20%EC%B9%B4%EB%82%98%EB%8D%B0%20%EB%9D%BC%EC%9A%B4%EC%A7%80%20%EC%9D%BC%EB%B3%B8%20%EB%8F%84%EC%BF%84,https://www.instagram.com/p/DcPlbXeEwI5/?stkn=MXdqemN1eTc4c2xnNA==
쉐라톤 미야코 호텔 도쿄 카페 (라운지 밤부),쉐라톤 미야코 호텔 도쿄 카페 일본 도쿄,식당 및 카페,"시로카네다이 숲으로 가득 찬 일본 정원 뷰, 숙박 없이 이용 가능",일본 도쿄,https://www.google.com/maps/search/?api=1&query=Sheraton%20Miyako%20Hotel%20Tokyo%20Lounge%20Bambu%20%EC%9D%BC%EB%B3%B8%20%EB%8F%84%EC%BF%84,https://www.instagram.com/p/DcPlbXeEwI5/?stkn=MXdqemN1eTc4c2xnNA==
사푸 (SAFU),사푸 일본 도쿄,식당 및 카페,"토모미술관 1층 정원 카페 겸 다이닝, 도심 속 숨겨진 정원",일본 도쿄,https://www.google.com/maps/search/?api=1&query=SAFU%20Toranomon%20Tomomuseum%20%EC%9D%BC%EB%B3%B8%20%EB%8F%84%EC%BF%84,https://www.instagram.com/p/DcPlbXeEwI5/?stkn=MXdqemN1eTc4c2xnNA==
리가로얄호텔 도쿄 1층 라운지 카페 (가든 라운지),리가로얄호텔 도쿄 1층 라운지 카페 일본 도쿄,식당 및 카페,"와세다 오쿠마 정원 조망 유럽풍 샹들리에 라운지, 숙박 없이 이용 가능",일본 도쿄,https://www.google.com/maps/search/?api=1&query=RIHGA%20Royal%20Hotel%20Tokyo%20Garden%20Lounge%20%EC%9D%BC%EB%B3%B8%20%EB%8F%84%EC%BF%84,https://www.instagram.com/p/DcPlbXeEwI5/?stkn=MXdqemN1eTc4c2xnNA==
