장소 이름,검색위치,카테고리,세부 태그/설명,지역,구글 지도 링크,출처
레이허우,레이허우 대만,식당 및 카페,NT$200~400,대만,https://www.google.com/maps/search/?api=1&query=%EB%A0%88%EC%9D%B4%ED%97%88%EC%9A%B0,대만 식당
은하동(銀河洞-韓式pocha),은하동 대만,식당 및 카페,NT$600~800,대만,https://www.google.com/maps/search/?api=1&query=%EC%9D%80%ED%95%98%EB%8F%99%28%E9%8A%80%E6%B2%B3%E6%B4%9E-%E9%9F%93%E5%BC%8Fpocha%29,대만 식당
키키레스토랑 (att 4 fun 지점),키키레스토랑 대만,식당 및 카페,"NT$400~1,000",대만,https://www.google.com/maps/search/?api=1&query=%ED%82%A4%ED%82%A4%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91%20%28att%204%20fun%20%EC%A7%80%EC%A0%90%29,대만 식당
