장소 이름,검색위치,카테고리,세부 태그/설명,지역,구글 지도 링크,출처
지우펀,지우펀 대만,유적지 및 관광지,원래 목록: 2026 대만,대만,https://www.google.com/maps/search/?api=1&query=%EC%A7%80%EC%9A%B0%ED%8E%80,2026 대만
스펀 천등광장,스펀 천등광장 대만,유적지 및 관광지,주차장,대만,https://www.google.com/maps/search/?api=1&query=%EC%8A%A4%ED%8E%80%20%EC%B2%9C%EB%93%B1%EA%B4%91%EC%9E%A5,2026 대만
타이베이101 전망대,타이베이101 전망대 대만,유적지 및 관광지,관측소,대만,https://www.google.com/maps/search/?api=1&query=%ED%83%80%EC%9D%B4%EB%B2%A0%EC%9D%B4101%20%EC%A0%84%EB%A7%9D%EB%8C%80,2026 대만
중정기념당,중정기념당 대만,유적지 및 관광지,문화적 랜드마크,대만,https://www.google.com/maps/search/?api=1&query=%EC%A4%91%EC%A0%95%EA%B8%B0%EB%85%90%EB%8B%B9,2026 대만
